iter	Passed	Remaining
899	1273	141
900	1275	140
901	1276	138
902	1277	137
903	1278	135
904	1279	134
905	1280	132
906	1282	131
907	1284	130
908	1286	128
909	1288	127
910	1289	126
911	1291	124
912	1292	123
913	1293	121
914	1295	120
915	1296	118
916	1299	117
917	1300	116
918	1301	114
919	1303	113
920	1304	111
921	1305	110
922	1307	109
923	1308	107
924	1310	106
925	1312	104
926	1314	103
927	1315	102
928	1317	100
929	1319	99
930	1321	97
931	1322	96
932	1323	95
933	1326	93
934	1328	92
935	1329	90
936	1331	89
937	1333	88
938	1335	86
939	1337	85
940	1338	83
941	1340	82
942	1342	81
943	1344	79
944	1346	78
945	1347	76
946	1349	75
947	1350	74
948	1352	72
949	1353	71
950	1354	69
951	1357	68
952	1359	67
953	1360	65
954	1362	64
955	1363	62
956	1365	61
957	1366	59
958	1368	58
959	1369	57
960	1371	55
961	1373	54
962	1375	52
963	1376	51
964	1379	50
965	1381	48
966	1383	47
967	1387	45
968	1389	44
969	1390	43
970	1392	41
971	1393	40
972	1395	38
973	1396	37
974	1397	35
975	1399	34
976	1401	32
977	1402	31
978	1403	30
979	1404	28
980	1406	27
981	1407	25
982	1408	24
983	1409	22
984	1410	21
985	1411	20
986	1413	18
987	1415	17
988	1416	15
989	1417	14
990	1419	12
991	1420	11
992	1421	10
993	1422	8
994	1423	7
995	1425	5
996	1426	4
997	1427	2
998	1429	1
999	1431	0
